,BELTON LAKE,LAKE WHITNEY,AQUILLA LAKE,LAKE WACO,PROCTOR LAKE,POSSUM KINGDOM LAKE,LAKE GEORGETOWN,GRANGER LAKE,LAKE LIMESTONE,STILLHOUSE HOLLOW LAKE,SOMERVILLE LAKE,LAKE GRANBURY,SAM RAYBURN RESERVOIR,B A STEINHAGEN LAKE
1/1/1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/2/1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/3/1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/4/1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/5/1981,0,0,0,0,0,0,0.418094083,0.317781159,0,0.005018102,0.052936129,0,0,0
1/6/1981,0.469543891,0.442880198,1.290797377,0.701824983,1.033981446,0.007429757,0.529575558,1.516414443,3.880303745,0.25474264,3.214452975,0.013002032,3.09855011,3.412165518
1/7/1981,0,0.415806962,0.343781581,0.020507192,0,0,0.002206002,0.053815189,1.644285572,0.00446036,0.435936615,0.038376713,10.40677059,9.243268539
1/8/1981,0.056479111,0.669915462,0,0.674833001,0.003379538,0.014707674,1.50620168,1.017353712,0,0.16508526,0.139821465,0.051979939,0,0
1/9/1981,5.051077029,5.973679015,4.926034205,5.741480224,12.37875883,5.721315898,1.050865097,1.646421352,3.882992936,4.072454476,4.573972056,7.790500891,3.295029833,3.487628481
1/10/1981,0.014496498,0,0,0.002415675,0,0.024344308,0,0,0,0.017119471,0,0,0,0.00079258
1/11/1981,0.003184919,0,0,0,0.014243749,0.012213988,0,0,0,0,0,0,0,0
1/12/1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/13/1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/14/1981,0,0,0,0,0,0,0,0,0,0,0.00434226,0,0,0
1/15/1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/16/1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/17/1981,0,0,0,0,0,0.259058455,0,0,0,0,0,0,0,0
