,BELTON LAKE,LAKE WHITNEY,AQUILLA LAKE,LAKE WACO,PROCTOR LAKE,POSSUM KINGDOM LAKE,LAKE GEORGETOWN,GRANGER LAKE,LAKE LIMESTONE,STILLHOUSE HOLLOW LAKE,SOMERVILLE LAKE,LAKE GRANBURY,SAM RAYBURN RESERVOIR,B A STEINHAGEN LAKE,"LAKE GRANBURY,POSSUM KINGDOM LAKE,LAKE WHITNEY","LAKE GEORGETOWN,STILLHOUSE HOLLOW LAKE"
1981-01-01,11.82451334,11.45538646,11.81200921,11.50156575,10.9913966,10.32093123,11.2717702,11.98859414,12.39730147,11.42021662,12.37046755,11.13270472,10.83011428,11.04664039,10.515772395657939,11.396742776312054
1981-01-02,10.12639851,9.443290749,9.868072051,9.829507997,9.309850182,8.990904241,10.67701215,10.99679844,10.58394179,10.15876322,11.71291846,8.747878729,9.165477365,9.609159757,9.000987411162557,10.240713962727671
1981-01-03,9.230471585,8.462611755,8.515243317,8.991153694,9.25675104,9.444297339,8.97685709,9.327835506,8.878575014,9.080618251,9.996366255,8.33192142,7.48464067,7.925911775,9.226789437888215,9.064210490717242
1981-01-04,8.904473822,7.626042698,8.388873528,8.315854688,6.883020523,4.987998711,10.18811816,10.42206193,8.760535026,9.695763253,11.42053335,6.32256474,9.302491387,9.427988726,5.375090211267567,9.773619371900745
1981-01-05,5.077958313,4.054248149,4.469008627,4.544615633,3.805324013,4.166062944,6.017387677,6.159638129,5.233066835,5.638932738,7.228079937,3.508779196,5.125913965,5.498235774,4.077988194952271,5.698777846295748
1981-01-06,6.142441976,5.148545404,5.274048184,5.542832485,5.822218971,7.586818197,7.024355025,7.17661203,5.585612785,6.695838662,8.317629213,5.254898991,4.696107955,5.051270117,7.097995151482764,6.747786979473695
1981-01-07,7.082635836,6.653415737,6.986674532,7.161642405,5.921407352,5.188055871,7.911952544,8.28157777,7.159119621,7.474670548,8.984485661,6.166663708,5.557777669,6.297932761,5.4313843579565795,7.543817983294538
1981-01-08,6.83889492,6.238707665,6.466042908,6.553189499,6.369388373,7.031995215,7.020027924,7.180803624,6.970323946,6.986204325,7.517542376,6.375270776,5.765007833,6.292151255,6.885121861356769,6.991552853283064
1981-01-09,8.605896884,8.670613027,8.92297121,8.69383715,8.365186668,8.460660804,9.054927107,9.11472956,9.691193468,8.790945589,9.378548624,8.550995749,7.96999404,8.491084466,8.489573662030871,8.832689006524234
1981-01-10,10.03034074,9.535745894,10.05449231,10.07392734,8.921580972,8.593745084,10.06702712,10.36535903,10.59894379,10.06123812,11.34936706,8.809748116,8.450789064,9.007882653,8.700884632583596,10.062153535010408
1981-01-11,8.430312847,7.117531221,7.751807473,7.772450407,7.113002152,5.153583312,9.695421079,10.12586656,9.007542798,9.14359681,11.21924182,6.337666578,6.833614572,7.855695922,5.464493558227982,9.230856823638048
