,sm_initial,sm_difference,prec_rollingsum,sm_final
2010-12-24,0.18545208379000266,-0.0009325299848251256,0.0,0.18451955380517754
1995-12-05,0.25056178457485007,-0.008994330731189243,0.0,0.24156745384366082
1986-08-03,0.21455309839649836,-0.01865225196301809,0.0,0.19590084643348027
1995-12-06,0.24985026197410315,-0.008667837541075085,0.0,0.24118242443302806
1995-12-07,0.24874943244459086,-0.007884977930369935,0.0,0.24086445451422092
1998-08-03,0.16040498253582552,-0.009207354359557218,0.0,0.1511976281762683
1986-08-02,0.21630182751471133,-0.019967523059760628,0.0,0.1963343044549507
1998-08-04,0.15952402564834833,-0.008767197841452107,0.0,0.15075682780689623
1986-08-01,0.2182047588891879,-0.02082381763373628,0.0,0.1973809412554516
1986-07-31,0.22011129387599274,-0.02157712825864838,0.0,0.19853416561734435
1998-08-05,0.15869172314725744,-0.007900038185716829,0.0,0.1507916849615406
1994-10-03,0.1759988798943334,-0.006224990820064641,0.0,0.16977388907426877
1994-10-02,0.17674110650362057,-0.006648895652546782,0.0,0.1700922108510738
1994-10-01,0.1776558986914733,-0.007253115980343616,0.0,0.17040278271112969
1991-10-21,0.19826079663191878,-0.004709646912734594,0.0,0.1935511497191842
2010-10-11,0.19266628134363054,-0.006154245615711235,0.0,0.1865120357279193
2010-10-12,0.1918353733242021,-0.0055838432397358195,0.0,0.1862515300844663
1991-10-22,0.1978114649278272,-0.004449321107813847,0.0,0.19336214382001335
1987-04-29,0.266177469029456,-0.013525515756089568,0.0,0.2526519532733664
1987-04-30,0.2650403876192911,-0.013324037223931329,0.0,0.2517163503953598
1987-05-01,0.2639069107988378,-0.01310268042531354,0.0,0.2508042303735243
1987-05-02,0.2628653207171482,-0.012934176363165156,0.0,0.24993114435398303
1994-10-04,0.17525162415913487,-0.005815952476684733,0.0,0.16943567168245013
1987-05-03,0.26193725517501704,-0.01286152941520241,0.0,0.24907572575981463
1994-10-05,0.17455731547789682,-0.0053727892831185176,0.0,0.1691845261947783
1994-10-06,0.17394375405329368,-0.004181295965731108,0.0,0.16976245808756257
2005-10-27,0.20126693966342243,-0.006994962409868161,0.0,0.19427197725355427
2005-10-28,0.19997416915260702,-0.005843209742920685,0.0,0.19413095940968633
2005-10-29,0.19894628662773906,-0.004977179942311977,0.0,0.19396910668542708
1995-10-27,0.22615714328246467,-0.005504914649127529,0.0,0.22065222863333714
1986-03-03,0.27022946035746115,-0.010552777487605747,0.0,0.2596766828698554
2005-10-30,0.19809615054610968,-0.004254666666047846,0.0,0.19384148388006184
1986-03-02,0.27136150311222723,-0.011675718115789102,0.0,0.25968578499643813
1986-03-01,0.2723491958790162,-0.012229230819174486,0.0,0.2601199650598417
2005-10-31,0.19747657259408857,-0.0033876135450953138,0.0,0.19408895904899326
1993-08-08,0.2203920570106363,-0.020117210538088875,0.0,0.20027484647254742
2018-05-20,0.2769179141341115,-0.02496222895120881,0.0,0.2519556851829027
1995-10-28,0.22577063533520333,-0.005311796653952261,0.0,0.22045883868125107
1995-10-29,0.22514130969491172,-0.003916539437841177,0.0,0.22122477025707055
1981-11-28,0.24745782404255182,-0.00781473998796356,0.0,0.23964308405458826
1981-11-27,0.24820406354343563,-0.00821812612356082,0.0,0.2399859374198748
2011-10-28,0.14626918129970057,-0.002514949755151541,0.0,0.14375423154454903
1981-11-26,0.24904459487910616,-0.008577086521737942,0.0,0.24046750835736821
1987-08-11,0.22842215437400792,-0.021987933222392675,0.0,0.20643422115161525
1981-11-25,0.24968566378007706,-0.008799930897780084,0.0,0.24088573288229698
1981-11-24,0.25067744567436234,-0.009339999937842236,0.0,0.2413374457365201
1994-10-07,0.17355661202859862,-0.0006833969294245124,0.0,0.1728732150991741
1991-10-20,0.1987542530393656,-0.005023465395858379,0.0,0.19373078764350724
1993-07-12,0.2857854897319844,-0.03844547336707782,0.0,0.2473400163649066
1993-07-13,0.28244000898302307,-0.03740623462532819,0.0,0.24503377435769488
1993-07-14,0.27926479476269533,-0.0365696648686297,0.0,0.24269512989406564
1989-10-01,0.16068534640937984,-0.004705404336055957,0.0,0.15597994207332389
1989-10-02,0.16004426651284645,-0.004271246996814693,0.0,0.15577301951603176
