,sm_initial,sm_difference,prec_rollingsum,sm_final,tmean_rollingavg
2006-01-07,0.32105006375,-0.001312133499999979,0.0,0.31973793025,55.347613640563
2006-01-06,0.32113931149999997,-0.0013084381249999777,0.0,0.319830873375,55.64791816099808
2006-01-10,0.320779254875,-0.0013046626249999527,0.0,0.31947459225,55.687155663107525
2006-01-09,0.320870126,-0.001312857874999962,0.0,0.319557268125,55.49582491861442
2006-01-08,0.3209613365,-0.00131514350000006,0.0,0.31964619299999997,54.86430843943696
1991-10-20,0.3393039915,-0.0034371583750000267,0.0,0.335866833125,67.29925777168297
1996-02-27,0.323762299375,-0.0018828917500000042,1.9504817419637396e-06,0.321879407625,59.213726299713706
1999-11-18,0.303658313125,-0.0006667146250000089,4.685595627296842e-06,0.3029915985,63.7550335848019
1999-11-19,0.30362905,-0.0007071246249999996,4.685595627296842e-06,0.302921925375,64.45186200047011
1999-11-20,0.3035927295,-0.0007315187499999931,4.685595627296842e-06,0.30286121075,64.60495590472321
1999-11-21,0.30355863375,-0.0007635196249999865,4.685595627296842e-06,0.302795114125,63.830699308046384
1996-01-17,0.328609965375,-0.0014154213749999478,6.9367027064125934e-06,0.32719454400000003,43.137940986974506
2001-10-29,0.316160605625,-7.159249999999506e-06,1.006603576367336e-05,0.316153446375,63.58096126039215
2001-10-30,0.316460502,-0.000421241874999978,1.006603576367336e-05,0.316039260125,63.52749648714241
2009-01-25,0.316586201375,-0.0009365968749999731,1.1718403940849201e-05,0.3156496045,46.161861881655966
2009-01-26,0.3165285915,-0.0009505067500000242,1.1718403940849201e-05,0.31557808475,45.9536536424232
2016-02-22,0.373455359125,-0.008544193124999988,2.5862973216151806e-05,0.364911166,56.277891564859615
2009-03-09,0.313945194375,-0.00113125862500002,3.252426959030239e-05,0.31281393575,59.04019988651873
2017-12-03,0.3361012955,-0.0023570921250000154,6.264575425709292e-05,0.333744203375,54.155107649893445
2017-12-04,0.335985499,-0.002428293249999991,6.678613129026616e-05,0.33355720575000003,54.941727155411904
1999-11-22,0.3035242825,-0.0007932530000000493,7.703742217807244e-05,0.30273102949999997,63.366796121711566
2017-12-02,0.336200753625,-0.002270251000000001,7.779849782176221e-05,0.333930502625,55.19595793289086
1986-03-01,0.33512423225,-0.0022440630000000183,8.597464556592392e-05,0.33288016924999997,58.01929186544424
1991-10-22,0.338798856625,-0.0033539142499999786,9.622452676012676e-05,0.335444942375,67.7398858976159
1991-10-21,0.33904626225,-0.0033958368750000023,9.622452676012676e-05,0.335650425375,67.51301523296814
2009-03-10,0.313874801875,-0.0011481038750000283,0.00016821164222923548,0.31272669799999997,60.58058665821754
1987-10-14,0.329995388375,-0.002432150249999987,0.000179173117207737,0.327563238125,64.50791218836858
1987-10-15,0.32983330850000003,-0.002464154250000017,0.000179173117207737,0.32736915425,64.28336583133984
1986-02-02,0.330945181375,-0.002719260250000022,0.00020887896704806772,0.328225921125,51.0128726404655
1991-10-23,0.338558266625,-0.0033275138749999655,0.0002234351918010795,0.33523075275,68.02385145238489
1985-12-29,0.33706349975,-0.002001721749999963,0.00022480865509344567,0.33506177800000003,41.762425790548924
1986-01-01,0.336880131375,-0.002409119000000015,0.00022480865509344567,0.334471012375,44.03309619968339
1985-12-30,0.3370462435,-0.0021771034999999994,0.00022480865509344567,0.33486914,42.43247386739642
1985-12-31,0.336977992625,-0.002302690375000027,0.00022480865509344567,0.33467530225,43.04004809109423
2006-01-05,0.32121893725,-0.0012945941249999926,0.00025915323390650276,0.319924343125,55.163584340166956
1986-02-28,0.335075931,-0.0019697353750000035,0.0003266254939903413,0.333106195625,57.59277711044085
1981-11-27,0.349523456,-0.003952673125000028,0.00034201582313313087,0.345570782875,58.030298092503365
1981-11-28,0.34935980499999997,-0.004114470999999953,0.00034201582313313087,0.345245334,57.87124995649966
1981-11-25,0.349704245125,-0.0035106854999999992,0.00034201582313313087,0.346193559625,56.23137818287879
1981-11-26,0.349648001,-0.003770966124999997,0.00034201582313313087,0.345877034875,57.034546154165135
