date,water_level,surface_area,reservoir_storage,conservation_storage,percent_full,conservation_capacity,dead_pool_capacity
1983-10-02,,,4680.0,4574.0,10.3,44460.0,106.0
1983-10-03,,,4660.0,4554.0,10.2,44460.0,106.0
1983-10-04,,,4650.0,4544.0,10.2,44460.0,106.0
1983-10-05,,,4630.0,4524.0,10.2,44460.0,106.0
1983-10-06,,,4620.0,4514.0,10.2,44460.0,106.0
1983-10-07,,,4600.0,4494.0,10.1,44460.0,106.0
1983-10-08,,,4600.0,4494.0,10.1,44460.0,106.0
1983-10-09,,,4600.0,4494.0,10.1,44460.0,106.0
1983-10-10,,,4600.0,4494.0,10.1,44460.0,106.0
1983-10-11,,,4600.0,4494.0,10.1,44460.0,106.0
1983-10-12,,,4620.0,4514.0,10.2,44460.0,106.0
1983-10-13,,,4630.0,4524.0,10.2,44460.0,106.0
1983-10-14,,,4630.0,4524.0,10.2,44460.0,106.0
1983-10-15,,,4630.0,4524.0,10.2,44460.0,106.0
1983-10-16,,,4620.0,4514.0,10.2,44460.0,106.0
1983-10-17,,,4620.0,4514.0,10.2,44460.0,106.0
1983-10-18,,,4620.0,4514.0,10.2,44460.0,106.0
1983-10-19,,,4620.0,4514.0,10.2,44460.0,106.0
1983-10-20,,,4620.0,4514.0,10.2,44460.0,106.0
1983-10-21,,,4620.0,4514.0,10.2,44460.0,106.0
1983-10-22,,,4630.0,4524.0,10.2,44460.0,106.0
1983-10-23,,,4630.0,4524.0,10.2,44460.0,106.0
1983-10-24,,,4630.0,4524.0,10.2,44460.0,106.0
1983-10-25,,,4630.0,4524.0,10.2,44460.0,106.0
1983-10-26,,,4630.0,4524.0,10.2,44460.0,106.0
1983-10-27,,,4630.0,4524.0,10.2,44460.0,106.0
1983-10-28,,,4630.0,4524.0,10.2,44460.0,106.0
1983-10-29,,,4630.0,4524.0,10.2,44460.0,106.0
1983-10-30,,,4630.0,4524.0,10.2,44460.0,106.0
1983-10-31,,,4630.0,4524.0,10.2,44460.0,106.0
1983-11-01,,,4630.0,4524.0,10.2,44460.0,106.0
1983-11-02,,,5200.0,5094.0,11.5,44460.0,106.0
1983-11-03,,,5200.0,5094.0,11.5,44460.0,106.0
1983-11-04,,,5190.0,5084.0,11.4,44460.0,106.0
1983-11-05,,,5190.0,5084.0,11.4,44460.0,106.0
1983-11-06,,,5190.0,5084.0,11.4,44460.0,106.0
1983-11-07,,,5180.0,5074.0,11.4,44460.0,106.0
1983-11-08,,,5170.0,5064.0,11.4,44460.0,106.0
1983-11-09,,,5160.0,5054.0,11.4,44460.0,106.0
1983-11-10,,,5160.0,5054.0,11.4,44460.0,106.0
1983-11-11,,,5160.0,5054.0,11.4,44460.0,106.0
1983-11-12,,,5160.0,5054.0,11.4,44460.0,106.0
