date,reservoir_storage,conservation_storage,percent_full,conservation_capacity
1936-01-01,10370.0,10370.0,84.5,12267.0
1936-01-02,10320.0,10320.0,84.1,12267.0
1936-01-03,10320.0,10320.0,84.1,12267.0
1936-01-04,10320.0,10320.0,84.1,12267.0
1936-01-05,10320.0,10320.0,84.1,12267.0
1936-01-06,10320.0,10320.0,84.1,12267.0
1936-01-07,10260.0,10260.0,83.6,12267.0
1936-01-08,10320.0,10320.0,84.1,12267.0
1936-01-09,10320.0,10320.0,84.1,12267.0
1936-01-10,10320.0,10320.0,84.1,12267.0
1936-01-11,10260.0,10260.0,83.6,12267.0
1936-01-12,10260.0,10260.0,83.6,12267.0
1936-01-13,10260.0,10260.0,83.6,12267.0
1936-01-14,10260.0,10260.0,83.6,12267.0
1936-01-15,10260.0,10260.0,83.6,12267.0
1936-01-16,10260.0,10260.0,83.6,12267.0
1936-01-17,10260.0,10260.0,83.6,12267.0
1936-01-18,10260.0,10260.0,83.6,12267.0
1936-01-19,10260.0,10260.0,83.6,12267.0
1936-01-20,10260.0,10260.0,83.6,12267.0
1936-01-21,10260.0,10260.0,83.6,12267.0
1936-01-22,10260.0,10260.0,83.6,12267.0
1936-01-23,10200.0,10200.0,83.1,12267.0
1936-01-24,10200.0,10200.0,83.1,12267.0
1936-01-25,10200.0,10200.0,83.1,12267.0
1936-01-26,10200.0,10200.0,83.1,12267.0
1936-01-27,10200.0,10200.0,83.1,12267.0
1936-01-28,10200.0,10200.0,83.1,12267.0
1936-01-29,10200.0,10200.0,83.1,12267.0
1936-01-30,10200.0,10200.0,83.1,12267.0
1936-01-31,10200.0,10200.0,83.1,12267.0
1936-02-01,10200.0,10200.0,83.1,12267.0
1936-02-02,10200.0,10200.0,83.1,12267.0
1936-02-03,10200.0,10200.0,83.1,12267.0
1936-02-04,10200.0,10200.0,83.1,12267.0
1936-02-05,10200.0,10200.0,83.1,12267.0
1936-02-06,10150.0,10150.0,82.7,12267.0
1936-02-07,10150.0,10150.0,82.7,12267.0
1936-02-08,10150.0,10150.0,82.7,12267.0
