date,water_level,surface_area,reservoir_storage,conservation_storage,percent_full,conservation_capacity,dead_pool_capacity
1980-01-22,,,615.0,615.0,1.1,57612.0,0.0
1980-01-23,,,1040.0,1040.0,1.8,57612.0,0.0
1980-01-24,,,1360.0,1360.0,2.4,57612.0,0.0
1980-01-25,,,1520.0,1520.0,2.6,57612.0,0.0
1980-01-26,,,1640.0,1640.0,2.8,57612.0,0.0
1980-01-27,,,1700.0,1700.0,3.0,57612.0,0.0
1980-01-28,,,1930.0,1930.0,3.3,57612.0,0.0
1980-01-29,,,2080.0,2080.0,3.6,57612.0,0.0
1980-01-30,,,2220.0,2220.0,3.9,57612.0,0.0
1980-01-31,,,2370.0,2370.0,4.1,57612.0,0.0
1980-02-01,,,2490.0,2490.0,4.3,57612.0,0.0
1980-02-02,,,2610.0,2610.0,4.5,57612.0,0.0
1980-02-03,,,2730.0,2730.0,4.7,57612.0,0.0
1980-02-04,,,2860.0,2860.0,5.0,57612.0,0.0
1980-02-05,,,2990.0,2990.0,5.2,57612.0,0.0
1980-02-06,,,3120.0,3120.0,5.4,57612.0,0.0
1980-02-07,,,3210.0,3210.0,5.6,57612.0,0.0
1980-02-08,,,3320.0,3320.0,5.8,57612.0,0.0
1980-02-09,,,3720.0,3720.0,6.5,57612.0,0.0
1980-02-10,,,4740.0,4740.0,8.2,57612.0,0.0
1980-02-11,,,5310.0,5310.0,9.2,57612.0,0.0
1980-02-12,,,5620.0,5620.0,9.8,57612.0,0.0
1980-02-13,,,5860.0,5860.0,10.2,57612.0,0.0
1980-02-14,,,6070.0,6070.0,10.5,57612.0,0.0
1980-02-15,,,6160.0,6160.0,10.7,57612.0,0.0
1980-02-16,,,6500.0,6500.0,11.3,57612.0,0.0
1980-02-17,,,6830.0,6830.0,11.9,57612.0,0.0
1980-02-18,,,6990.0,6990.0,12.1,57612.0,0.0
1980-02-19,,,7260.0,7260.0,12.6,57612.0,0.0
1980-02-20,,,7460.0,7460.0,12.9,57612.0,0.0
1980-02-21,,,7670.0,7670.0,13.3,57612.0,0.0
1980-02-22,,,7800.0,7800.0,13.5,57612.0,0.0
1980-02-23,,,7900.0,7900.0,13.7,57612.0,0.0
1980-02-24,,,8000.0,8000.0,13.9,57612.0,0.0
1980-02-25,,,8250.0,8250.0,14.3,57612.0,0.0
1980-02-26,,,8420.0,8420.0,14.6,57612.0,0.0
1980-02-27,,,8530.0,8530.0,14.8,57612.0,0.0
1980-02-28,,,8640.0,8640.0,15.0,57612.0,0.0
1980-02-29,,,8750.0,8750.0,15.2,57612.0,0.0
1980-03-01,,,8940.0,8940.0,15.5,57612.0,0.0
1980-03-02,,,9170.0,9170.0,15.9,57612.0,0.0
1980-03-03,,,9320.0,9320.0,16.2,57612.0,0.0
1980-03-04,,,9440.0,9440.0,16.4,57612.0,0.0
1980-03-05,,,9550.0,9550.0,16.6,57612.0,0.0
1980-03-06,,,9680.0,9680.0,16.8,57612.0,0.0
