date,water_level,surface_area,reservoir_storage,conservation_storage,percent_full,conservation_capacity,dead_pool_capacity
1972-10-02,,,148000.0,145759.0,97.7,149264.0,2241.0
1972-10-03,,,147200.0,144959.0,97.1,149264.0,2241.0
1972-10-04,,,146900.0,144659.0,96.9,149264.0,2241.0
1972-10-05,,,146700.0,144459.0,96.8,149264.0,2241.0
1972-10-06,,,146600.0,144359.0,96.7,149264.0,2241.0
1972-10-07,,,146500.0,144259.0,96.6,149264.0,2241.0
1972-10-08,,,146200.0,143959.0,96.4,149264.0,2241.0
1972-10-09,,,147100.0,144859.0,97.0,149264.0,2241.0
1972-10-10,,,147300.0,145059.0,97.2,149264.0,2241.0
1972-10-11,,,147400.0,145159.0,97.2,149264.0,2241.0
1972-10-12,,,147300.0,145059.0,97.2,149264.0,2241.0
1972-10-13,,,148500.0,146259.0,98.0,149264.0,2241.0
1972-10-14,,,149200.0,146959.0,98.5,149264.0,2241.0
1972-10-15,,,149800.0,147559.0,98.9,149264.0,2241.0
1972-10-16,,,150600.0,148359.0,99.4,149264.0,2241.0
1972-10-17,,,150400.0,148159.0,99.3,149264.0,2241.0
1972-10-18,,,149300.0,147059.0,98.5,149264.0,2241.0
1972-10-19,,,150300.0,148059.0,99.2,149264.0,2241.0
1972-10-20,,,150600.0,148359.0,99.4,149264.0,2241.0
1972-10-21,,,151200.0,148959.0,99.8,149264.0,2241.0
1972-10-22,,,152300.0,149264.0,100.0,149264.0,2241.0
1972-10-23,,,151200.0,148959.0,99.8,149264.0,2241.0
1972-10-24,,,148200.0,145959.0,97.8,149264.0,2241.0
1972-10-25,,,148300.0,146059.0,97.9,149264.0,2241.0
1972-10-26,,,148300.0,146059.0,97.9,149264.0,2241.0
1972-10-27,,,149700.0,147459.0,98.8,149264.0,2241.0
1972-10-28,,,148300.0,146059.0,97.9,149264.0,2241.0
1972-10-29,,,147800.0,145559.0,97.5,149264.0,2241.0
1972-10-30,,,148300.0,146059.0,97.9,149264.0,2241.0
1972-10-31,,,148800.0,146559.0,98.2,149264.0,2241.0
1972-11-01,,,146700.0,144459.0,96.8,149264.0,2241.0
1972-11-02,,,141100.0,138859.0,93.0,149264.0,2241.0
1972-11-03,,,133600.0,131359.0,88.0,149264.0,2241.0
1972-11-04,,,139900.0,137659.0,92.2,149264.0,2241.0
1972-11-05,,,145200.0,142959.0,95.8,149264.0,2241.0
1972-11-06,,,150000.0,147759.0,99.0,149264.0,2241.0
1972-11-07,,,149400.0,147159.0,98.6,149264.0,2241.0
