date,water_level,surface_area,reservoir_storage,conservation_storage,percent_full,conservation_capacity,dead_pool_capacity
1941-03-22,,,3190.0,3190.0,0.4,711728.0,0.0
1941-03-23,,,3500.0,3500.0,0.5,711728.0,0.0
1941-03-24,,,4320.0,4320.0,0.6,711728.0,0.0
1941-03-25,,,5720.0,5720.0,0.8,711728.0,0.0
1941-03-26,,,7530.0,7530.0,1.1,711728.0,0.0
1941-03-27,,,9200.0,9200.0,1.3,711728.0,0.0
1941-03-28,,,11200.0,11200.0,1.6,711728.0,0.0
1941-03-29,,,17500.0,17500.0,2.5,711728.0,0.0
1941-03-30,,,26100.0,26100.0,3.7,711728.0,0.0
1941-03-31,,,32560.0,32560.0,4.6,711728.0,0.0
1941-04-01,,,35860.0,35860.0,5.0,711728.0,0.0
1941-04-02,,,39940.0,39940.0,5.6,711728.0,0.0
1941-04-03,,,41380.0,41380.0,5.8,711728.0,0.0
1941-04-04,,,42820.0,42820.0,6.0,711728.0,0.0
1941-04-05,,,43300.0,43300.0,6.1,711728.0,0.0
1941-04-06,,,44020.0,44020.0,6.2,711728.0,0.0
1941-04-07,,,44500.0,44500.0,6.3,711728.0,0.0
1941-04-08,,,44980.0,44980.0,6.3,711728.0,0.0
1941-04-09,,,45700.0,45700.0,6.4,711728.0,0.0
1941-04-10,,,45700.0,45700.0,6.4,711728.0,0.0
1941-04-11,,,46660.0,46660.0,6.6,711728.0,0.0
1941-04-12,,,46900.0,46900.0,6.6,711728.0,0.0
1941-04-13,,,47380.0,47380.0,6.7,711728.0,0.0
1941-04-14,,,47380.0,47380.0,6.7,711728.0,0.0
1941-04-15,,,47380.0,47380.0,6.7,711728.0,0.0
1941-04-16,,,48100.0,48100.0,6.8,711728.0,0.0
1941-04-17,,,87400.0,87400.0,12.3,711728.0,0.0
1941-04-18,,,149800.0,149800.0,21.0,711728.0,0.0
1941-04-19,,,171600.0,171600.0,24.1,711728.0,0.0
1941-04-20,,,188200.0,188200.0,26.4,711728.0,0.0
1941-04-21,,,190800.0,190800.0,26.8,711728.0,0.0
1941-04-22,,,205400.0,205400.0,28.9,711728.0,0.0
1941-04-23,,,211200.0,211200.0,29.7,711728.0,0.0
1941-04-24,,,212000.0,212000.0,29.8,711728.0,0.0
1941-04-25,,,216000.0,216000.0,30.3,711728.0,0.0
1941-04-26,,,219200.0,219200.0,30.8,711728.0,0.0
1941-04-27,,,222400.0,222400.0,31.2,711728.0,0.0
1941-04-28,,,22240.0,22240.0,3.1,711728.0,0.0
1941-04-29,,,224000.0,224000.0,31.5,711728.0,0.0
1941-04-30,,,224000.0,224000.0,31.5,711728.0,0.0
1941-05-01,,,232000.0,232000.0,32.6,711728.0,0.0
1941-05-02,,,271000.0,271000.0,38.1,711728.0,0.0
1941-05-03,,,340000.0,340000.0,47.8,711728.0,0.0
1941-05-04,,,408000.0,408000.0,57.3,711728.0,0.0
1941-05-05,,,498300.0,498300.0,70.0,711728.0,0.0
1941-05-06,,,627300.0,627300.0,88.1,711728.0,0.0
1941-05-07,,,652100.0,652100.0,91.6,711728.0,0.0
1941-05-08,,,636200.0,636200.0,89.4,711728.0,0.0
1941-05-09,,,620300.0,620300.0,87.2,711728.0,0.0
1941-05-10,,,593200.0,593200.0,83.3,711728.0,0.0
1941-05-11,,,581300.0,581300.0,81.7,711728.0,0.0
1941-05-12,,,579600.0,579600.0,81.4,711728.0,0.0
1941-05-13,,,586600.0,586600.0,82.4,711728.0,0.0
1941-05-14,,,602600.0,602600.0,84.7,711728.0,0.0
1941-05-15,,,597200.0,597200.0,83.9,711728.0,0.0
1941-05-16,,,579600.0,579600.0,81.4,711728.0,0.0
1941-05-17,,,563600.0,563600.0,79.2,711728.0,0.0
1941-05-18,,,551500.0,551500.0,77.5,711728.0,0.0
1941-05-19,,,543900.0,543900.0,76.4,711728.0,0.0
1941-05-20,,,537800.0,537800.0,75.6,711728.0,0.0
1941-05-21,,,528700.0,528700.0,74.3,711728.0,0.0
1941-05-22,,,556500.0,556500.0,78.2,711728.0,0.0
1941-05-23,,,622000.0,622000.0,87.4,711728.0,0.0
1941-05-24,,,650400.0,650400.0,91.4,711728.0,0.0
1941-05-25,,,655700.0,655700.0,92.1,711728.0,0.0
1941-05-26,,,653900.0,653900.0,91.9,711728.0,0.0
1941-05-27,,,648600.0,648600.0,91.1,711728.0,0.0
1941-05-28,,,613200.0,613200.0,86.2,711728.0,0.0
1941-05-29,,,586600.0,586600.0,82.4,711728.0,0.0
1941-05-30,,,577800.0,577800.0,81.2,711728.0,0.0
1941-05-31,,,560100.0,560100.0,78.7,711728.0,0.0
1941-06-01,,,553000.0,553000.0,77.7,711728.0,0.0
1941-06-02,,,543900.0,543900.0,76.4,711728.0,0.0
1941-06-03,,,533200.0,533200.0,74.9,711728.0,0.0
1941-06-04,,,528700.0,528700.0,74.3,711728.0,0.0
1941-06-05,,,530200.0,530200.0,74.5,711728.0,0.0
1941-06-06,,,533200.0,533200.0,74.9,711728.0,0.0
1941-06-07,,,534800.0,534800.0,75.1,711728.0,0.0
1941-06-08,,,537800.0,537800.0,75.6,711728.0,0.0
1941-06-09,,,542400.0,542400.0,76.2,711728.0,0.0
1941-06-10,,,545400.0,545400.0,76.6,711728.0,0.0
1941-06-11,,,581300.0,581300.0,81.7,711728.0,0.0
1941-06-12,,,641500.0,641500.0,90.1,711728.0,0.0
1941-06-13,,,643300.0,643300.0,90.4,711728.0,0.0
1941-06-14,,,636200.0,636200.0,89.4,711728.0,0.0
1941-06-15,,,618500.0,618500.0,86.9,711728.0,0.0
1941-06-16,,,597200.0,597200.0,83.9,711728.0,0.0
1941-06-17,,,595500.0,595500.0,83.7,711728.0,0.0
1941-06-18,,,589000.0,589000.0,82.8,711728.0,0.0
1941-06-19,,,583000.0,583000.0,81.9,711728.0,0.0
1941-06-20,,,577000.0,577000.0,81.1,711728.0,0.0
1941-06-21,,,571000.0,571000.0,80.2,711728.0,0.0
1941-06-22,,,565000.0,565000.0,79.4,711728.0,0.0
1941-06-23,,,559000.0,559000.0,78.5,711728.0,0.0
1941-06-24,,,553000.0,553000.0,77.7,711728.0,0.0
1941-06-25,,,548400.0,548400.0,77.1,711728.0,0.0
1941-06-26,,,545400.0,545400.0,76.6,711728.0,0.0
1941-06-27,,,542400.0,542400.0,76.2,711728.0,0.0
1941-06-28,,,540800.0,540800.0,76.0,711728.0,0.0
1941-06-29,,,540800.0,540800.0,76.0,711728.0,0.0
1941-06-30,,,542400.0,542400.0,76.2,711728.0,0.0
1941-07-01,,,545400.0,545400.0,76.6,711728.0,0.0
1941-07-02,,,546900.0,546900.0,76.8,711728.0,0.0
1941-07-03,,,548400.0,548400.0,77.1,711728.0,0.0
1941-07-04,,,558300.0,558300.0,78.4,711728.0,0.0
1941-07-05,,,567200.0,567200.0,79.7,711728.0,0.0
1941-07-06,,,572500.0,572500.0,80.4,711728.0,0.0
1941-07-07,,,576000.0,576000.0,80.9,711728.0,0.0
1941-07-08,,,579600.0,579600.0,81.4,711728.0,0.0
1941-07-09,,,584900.0,584900.0,82.2,711728.0,0.0
1941-07-10,,,586600.0,586600.0,82.4,711728.0,0.0
1941-07-11,,,588400.0,588400.0,82.7,711728.0,0.0
1941-07-12,,,611400.0,611400.0,85.9,711728.0,0.0
