date,water_level,surface_area,reservoir_storage,conservation_storage,percent_full,conservation_capacity,dead_pool_capacity
1963-02-02,,,687.0,687.0,1.2,55457.0,0.0
1963-02-03,,,752.0,752.0,1.4,55457.0,0.0
1963-02-04,,,719.0,719.0,1.3,55457.0,0.0
1963-02-05,,,719.0,719.0,1.3,55457.0,0.0
1963-02-06,,,719.0,719.0,1.3,55457.0,0.0
1963-02-07,,,719.0,719.0,1.3,55457.0,0.0
1963-02-08,,,703.0,703.0,1.3,55457.0,0.0
1963-02-09,,,703.0,703.0,1.3,55457.0,0.0
1963-02-10,,,703.0,703.0,1.3,55457.0,0.0
1963-02-11,,,703.0,703.0,1.3,55457.0,0.0
1963-02-12,,,719.0,719.0,1.3,55457.0,0.0
1963-02-13,,,736.0,736.0,1.3,55457.0,0.0
1963-02-14,,,736.0,736.0,1.3,55457.0,0.0
1963-02-15,,,736.0,736.0,1.3,55457.0,0.0
1963-02-16,,,736.0,736.0,1.3,55457.0,0.0
1963-02-17,,,736.0,736.0,1.3,55457.0,0.0
1963-02-18,,,736.0,736.0,1.3,55457.0,0.0
1963-02-19,,,736.0,736.0,1.3,55457.0,0.0
1963-02-20,,,752.0,752.0,1.4,55457.0,0.0
1963-02-21,,,752.0,752.0,1.4,55457.0,0.0
1963-02-22,,,752.0,752.0,1.4,55457.0,0.0
1963-02-23,,,719.0,719.0,1.3,55457.0,0.0
1963-02-24,,,719.0,719.0,1.3,55457.0,0.0
1963-02-25,,,719.0,719.0,1.3,55457.0,0.0
1963-02-26,,,719.0,719.0,1.3,55457.0,0.0
1963-02-27,,,703.0,703.0,1.3,55457.0,0.0
1963-02-28,,,719.0,719.0,1.3,55457.0,0.0
1963-03-01,,,687.0,687.0,1.2,55457.0,0.0
1963-03-02,,,687.0,687.0,1.2,55457.0,0.0
1963-03-03,,,656.0,656.0,1.2,55457.0,0.0
1963-03-04,,,641.0,641.0,1.2,55457.0,0.0
1963-03-05,,,656.0,656.0,1.2,55457.0,0.0
1963-03-06,,,641.0,641.0,1.2,55457.0,0.0
1963-03-07,,,611.0,611.0,1.1,55457.0,0.0
1963-03-08,,,611.0,611.0,1.1,55457.0,0.0
1963-03-09,,,611.0,611.0,1.1,55457.0,0.0
1963-03-10,,,672.0,672.0,1.2,55457.0,0.0
1963-03-11,,,514.0,514.0,0.9,55457.0,0.0
1963-03-12,,,568.0,568.0,1.0,55457.0,0.0
1963-03-13,,,554.0,554.0,1.0,55457.0,0.0
1963-03-14,,,540.0,540.0,1.0,55457.0,0.0
1963-03-15,,,540.0,540.0,1.0,55457.0,0.0
1963-03-16,,,568.0,568.0,1.0,55457.0,0.0
1963-03-17,,,527.0,527.0,1.0,55457.0,0.0
1963-03-18,,,527.0,527.0,1.0,55457.0,0.0
1963-03-19,,,540.0,540.0,1.0,55457.0,0.0
1963-03-20,,,527.0,527.0,1.0,55457.0,0.0
1963-03-21,,,514.0,514.0,0.9,55457.0,0.0
1963-03-22,,,501.0,501.0,0.9,55457.0,0.0
1963-03-23,,,488.0,488.0,0.9,55457.0,0.0
1963-03-24,,,488.0,488.0,0.9,55457.0,0.0
1963-03-25,,,463.0,463.0,0.8,55457.0,0.0
1963-03-26,,,488.0,488.0,0.9,55457.0,0.0
1963-03-27,,,463.0,463.0,0.8,55457.0,0.0
1963-03-28,,,463.0,463.0,0.8,55457.0,0.0
1963-03-29,,,463.0,463.0,0.8,55457.0,0.0
1963-03-30,,,463.0,463.0,0.8,55457.0,0.0
1963-03-31,,,463.0,463.0,0.8,55457.0,0.0
1963-04-01,,,463.0,463.0,0.8,55457.0,0.0
1963-04-02,,,333.0,333.0,0.6,55457.0,0.0
1963-04-03,,,314.0,314.0,0.6,55457.0,0.0
1963-04-04,,,314.0,314.0,0.6,55457.0,0.0
1963-04-05,,,297.0,297.0,0.5,55457.0,0.0
1963-04-06,,,333.0,333.0,0.6,55457.0,0.0
1963-04-07,,,343.0,343.0,0.6,55457.0,0.0
1963-04-08,,,333.0,333.0,0.6,55457.0,0.0
1963-04-09,,,333.0,333.0,0.6,55457.0,0.0
1963-04-10,,,333.0,333.0,0.6,55457.0,0.0
1963-04-11,,,333.0,333.0,0.6,55457.0,0.0
1963-04-12,,,324.0,324.0,0.6,55457.0,0.0
1963-04-13,,,314.0,314.0,0.6,55457.0,0.0
1963-04-14,,,297.0,297.0,0.5,55457.0,0.0
1963-04-15,,,297.0,297.0,0.5,55457.0,0.0
1963-04-16,,,288.0,288.0,0.5,55457.0,0.0
1963-04-17,,,288.0,288.0,0.5,55457.0,0.0
1963-04-18,,,288.0,288.0,0.5,55457.0,0.0
1963-04-19,,,288.0,288.0,0.5,55457.0,0.0
1963-04-20,,,288.0,288.0,0.5,55457.0,0.0
1963-04-21,,,280.0,280.0,0.5,55457.0,0.0
,,,,,,,
1963-04-22,,,277.0,277.0,0.5,55457.0,0.0
1963-04-23,,,264.0,264.0,0.5,55457.0,0.0
1963-04-24,,,264.0,264.0,0.5,55457.0,0.0
1963-04-25,,,249.0,249.0,0.4,55457.0,0.0
1963-04-26,,,249.0,249.0,0.4,55457.0,0.0
1963-04-27,,,249.0,249.0,0.4,55457.0,0.0
1963-04-28,,,264.0,264.0,0.5,55457.0,0.0
1963-04-29,,,451.0,451.0,0.8,55457.0,0.0
1963-04-30,,,1500.0,1500.0,2.7,55457.0,0.0
1963-05-01,,,2000.0,2000.0,3.6,55457.0,0.0
1963-05-02,,,1930.0,1930.0,3.5,55457.0,0.0
1963-05-03,,,1750.0,1750.0,3.2,55457.0,0.0
1963-05-04,,,1470.0,1470.0,2.7,55457.0,0.0
1963-05-05,,,1260.0,1260.0,2.3,55457.0,0.0
1963-05-06,,,1210.0,1210.0,2.2,55457.0,0.0
1963-05-07,,,1080.0,1080.0,1.9,55457.0,0.0
1963-05-08,,,1060.0,1060.0,1.9,55457.0,0.0
1963-05-09,,,1000.0,1000.0,1.8,55457.0,0.0
1963-05-10,,,893.0,893.0,1.6,55457.0,0.0
1963-05-11,,,444.0,444.0,0.8,55457.0,0.0
1963-05-12,,,327.0,327.0,0.6,55457.0,0.0
1963-05-13,,,295.0,295.0,0.5,55457.0,0.0
1963-05-14,,,292.0,292.0,0.5,55457.0,0.0
1963-05-15,,,264.0,264.0,0.5,55457.0,0.0
1963-05-16,,,249.0,249.0,0.4,55457.0,0.0
1963-05-17,,,249.0,249.0,0.4,55457.0,0.0
1963-05-18,,,239.0,239.0,0.4,55457.0,0.0
1963-05-19,,,231.0,231.0,0.4,55457.0,0.0
1963-05-20,,,235.0,235.0,0.4,55457.0,0.0
1963-05-21,,,227.0,227.0,0.4,55457.0,0.0
1963-05-22,,,238.0,238.0,0.4,55457.0,0.0
1963-05-23,,,752.0,752.0,1.4,55457.0,0.0
1963-05-24,,,2310.0,2310.0,4.2,55457.0,0.0
1963-05-25,,,4620.0,4620.0,8.3,55457.0,0.0
1963-05-26,,,6190.0,6190.0,11.2,55457.0,0.0
1963-05-27,,,6760.0,6760.0,12.2,55457.0,0.0
1963-05-28,,,6850.0,6850.0,12.4,55457.0,0.0
1963-05-29,,,12530.0,12530.0,22.6,55457.0,0.0
1963-05-30,,,26180.0,26180.0,47.2,55457.0,0.0
1963-05-31,,,34250.0,34250.0,61.8,55457.0,0.0
1963-06-01,,,45820.0,45820.0,82.6,55457.0,0.0
1963-06-02,,,52430.0,52430.0,94.5,55457.0,0.0
1963-06-03,,,54410.0,54410.0,98.1,55457.0,0.0
1963-06-04,,,54940.0,54940.0,99.1,55457.0,0.0
1963-06-05,,,54760.0,54760.0,98.7,55457.0,0.0
1963-06-06,,,54190.0,54190.0,97.7,55457.0,0.0
1963-06-07,,,53540.0,53540.0,96.5,55457.0,0.0
1963-06-08,,,52900.0,52900.0,95.4,55457.0,0.0
1963-06-09,,,52130.0,52130.0,94.0,55457.0,0.0
1963-06-10,,,51460.0,51460.0,92.8,55457.0,0.0
1963-06-11,,,50920.0,50920.0,91.8,55457.0,0.0
1963-06-12,,,50040.0,50040.0,90.2,55457.0,0.0
1963-06-13,,,49430.0,49430.0,89.1,55457.0,0.0
1963-06-14,,,48700.0,48700.0,87.8,55457.0,0.0
1963-06-15,,,48020.0,48020.0,86.6,55457.0,0.0
1963-06-16,,,47140.0,47140.0,85.0,55457.0,0.0
1963-06-17,,,47380.0,47380.0,85.4,55457.0,0.0
1963-06-18,,,46830.0,46830.0,84.4,55457.0,0.0
1963-06-19,,,46090.0,46090.0,83.1,55457.0,0.0
1963-06-20,,,46010.0,46010.0,83.0,55457.0,0.0
1963-06-21,,,45620.0,45620.0,82.3,55457.0,0.0
1963-06-22,,,45010.0,45010.0,81.2,55457.0,0.0
1963-06-23,,,44480.0,44480.0,80.2,55457.0,0.0
1963-06-24,,,44250.0,44250.0,79.8,55457.0,0.0
