date,water_level,surface_area,reservoir_storage,conservation_storage,percent_full,conservation_capacity,dead_pool_capacity
1965-01-02,,,0.0,0.0,0.0,2898509.0,0.0
1965-01-03,,,0.0,0.0,0.0,2898509.0,0.0
1965-01-04,,,0.0,0.0,0.0,2898509.0,0.0
1965-01-05,,,0.0,0.0,0.0,2898509.0,0.0
1965-01-06,,,0.0,0.0,0.0,2898509.0,0.0
1965-01-07,,,0.0,0.0,0.0,2898509.0,0.0
1965-01-08,,,0.0,0.0,0.0,2898509.0,0.0
1965-01-09,,,0.0,0.0,0.0,2898509.0,0.0
1965-01-10,,,0.0,0.0,0.0,2898509.0,0.0
1965-01-11,,,0.0,0.0,0.0,2898509.0,0.0
1965-01-12,,,0.0,0.0,0.0,2898509.0,0.0
1965-01-13,,,0.0,0.0,0.0,2898509.0,0.0
1965-01-14,,,0.0,0.0,0.0,2898509.0,0.0
1965-01-15,,,0.0,0.0,0.0,2898509.0,0.0
1965-01-16,,,132.0,132.0,0.0,2898509.0,0.0
1965-01-17,,,596.0,596.0,0.0,2898509.0,0.0
1965-01-18,,,1080.0,1080.0,0.0,2898509.0,0.0
1965-01-19,,,1560.0,1560.0,0.1,2898509.0,0.0
1965-01-20,,,2110.0,2110.0,0.1,2898509.0,0.0
1965-01-21,,,2660.0,2660.0,0.1,2898509.0,0.0
1965-01-22,,,3220.0,3220.0,0.1,2898509.0,0.0
1965-01-23,,,3730.0,3730.0,0.1,2898509.0,0.0
1965-01-24,,,4870.0,4870.0,0.2,2898509.0,0.0
1965-01-25,,,5880.0,5880.0,0.2,2898509.0,0.0
1965-01-26,,,6970.0,6970.0,0.2,2898509.0,0.0
1965-01-27,,,8070.0,8070.0,0.3,2898509.0,0.0
1965-01-28,,,9580.0,9580.0,0.3,2898509.0,0.0
1965-01-29,,,10920.0,10920.0,0.4,2898509.0,0.0
1965-01-30,,,12620.0,12620.0,0.4,2898509.0,0.0
1965-01-31,,,14000.0,14000.0,0.5,2898509.0,0.0
1965-02-01,,,15480.0,15480.0,0.5,2898509.0,0.0
1965-02-02,,,16460.0,16460.0,0.6,2898509.0,0.0
1965-02-03,,,17440.0,17440.0,0.6,2898509.0,0.0
1965-02-04,,,17930.0,17930.0,0.6,2898509.0,0.0
1965-02-05,,,18480.0,18480.0,0.6,2898509.0,0.0
1965-02-06,,,19250.0,19250.0,0.7,2898509.0,0.0
1965-02-07,,,20020.0,20020.0,0.7,2898509.0,0.0
1965-02-08,,,20400.0,20400.0,0.7,2898509.0,0.0
1965-02-09,,,20980.0,20980.0,0.7,2898509.0,0.0
1965-02-10,,,21560.0,21560.0,0.7,2898509.0,0.0
1965-02-11,,,22620.0,22620.0,0.8,2898509.0,0.0
1965-02-12,,,23520.0,23520.0,0.8,2898509.0,0.0
1965-02-13,,,28280.0,28280.0,1.0,2898509.0,0.0
1965-02-14,,,33170.0,33170.0,1.1,2898509.0,0.0
1965-02-15,,,37070.0,37070.0,1.3,2898509.0,0.0
1965-02-16,,,39030.0,39030.0,1.3,2898509.0,0.0
1965-02-17,,,42440.0,42440.0,1.5,2898509.0,0.0
1965-02-18,,,46780.0,46780.0,1.6,2898509.0,0.0
1965-02-19,,,51390.0,51390.0,1.8,2898509.0,0.0
1965-02-20,,,55580.0,55580.0,1.9,2898509.0,0.0
1965-02-21,,,59020.0,59020.0,2.0,2898509.0,0.0
1965-02-22,,,62640.0,62640.0,2.2,2898509.0,0.0
1965-02-23,,,66440.0,66440.0,2.3,2898509.0,0.0
1965-02-24,,,68350.0,68350.0,2.4,2898509.0,0.0
1965-02-25,,,71310.0,71310.0,2.5,2898509.0,0.0
1965-02-26,,,74990.0,74990.0,2.6,2898509.0,0.0
1965-02-27,,,78680.0,78680.0,2.7,2898509.0,0.0
1965-02-28,,,80780.0,80780.0,2.8,2898509.0,0.0
1965-03-01,,,83100.0,83100.0,2.9,2898509.0,0.0
1965-03-02,,,88300.0,88300.0,3.0,2898509.0,0.0
1965-03-03,,,92360.0,92360.0,3.2,2898509.0,0.0
1965-03-04,,,94890.0,94890.0,3.3,2898509.0,0.0
1965-03-05,,,94890.0,94890.0,3.3,2898509.0,0.0
1965-03-06,,,97300.0,97300.0,3.4,2898509.0,0.0
1965-03-07,,,96160.0,96160.0,3.3,2898509.0,0.0
1965-03-08,,,97420.0,97420.0,3.4,2898509.0,0.0
1965-03-09,,,98690.0,98690.0,3.4,2898509.0,0.0
1965-03-10,,,97420.0,97420.0,3.4,2898509.0,0.0
1965-03-11,,,97420.0,97420.0,3.4,2898509.0,0.0
1965-03-12,,,97420.0,97420.0,3.4,2898509.0,0.0
1965-03-13,,,97420.0,97420.0,3.4,2898509.0,0.0
1965-03-14,,,97420.0,97420.0,3.4,2898509.0,0.0
1965-03-15,,,97420.0,97420.0,3.4,2898509.0,0.0
1965-03-16,,,97420.0,97420.0,3.4,2898509.0,0.0
1965-03-17,,,96790.0,96790.0,3.3,2898509.0,0.0
1965-03-18,,,96790.0,96790.0,3.3,2898509.0,0.0
1965-03-19,,,96160.0,96160.0,3.3,2898509.0,0.0
1965-03-20,,,92360.0,92360.0,3.2,2898509.0,0.0
1965-03-21,,,90040.0,90040.0,3.1,2898509.0,0.0
1965-03-22,,,88880.0,88880.0,3.1,2898509.0,0.0
1965-03-23,,,86570.0,86570.0,3.0,2898509.0,0.0
1965-03-24,,,84830.0,84830.0,2.9,2898509.0,0.0
1965-03-25,,,83670.0,83670.0,2.9,2898509.0,0.0
1965-03-26,,,80780.0,80780.0,2.8,2898509.0,0.0
1965-03-27,,,81940.0,81940.0,2.8,2898509.0,0.0
1965-03-28,,,80250.0,80250.0,2.8,2898509.0,0.0
1965-03-29,,,79200.0,79200.0,2.7,2898509.0,0.0
