date,water_level,surface_area,reservoir_storage,conservation_storage,percent_full,conservation_capacity,dead_pool_capacity
1966-02-02,,,0.0,0.0,0.0,155171.0,0.0
1966-02-03,,,0.0,0.0,0.0,155171.0,0.0
1966-02-04,,,150.0,150.0,0.1,155171.0,0.0
1966-02-05,,,668.0,668.0,0.4,155171.0,0.0
1966-02-06,,,695.0,695.0,0.4,155171.0,0.0
1966-02-07,,,722.0,722.0,0.5,155171.0,0.0
1966-02-08,,,695.0,695.0,0.4,155171.0,0.0
1966-02-09,,,668.0,668.0,0.4,155171.0,0.0
1966-02-10,,,695.0,695.0,0.4,155171.0,0.0
1966-02-11,,,934.0,934.0,0.6,155171.0,0.0
1966-02-12,,,2210.0,2210.0,1.4,155171.0,0.0
1966-02-13,,,3970.0,3970.0,2.6,155171.0,0.0
1966-02-14,,,5760.0,5760.0,3.7,155171.0,0.0
1966-02-15,,,6750.0,6750.0,4.4,155171.0,0.0
1966-02-16,,,7980.0,7980.0,5.1,155171.0,0.0
1966-02-17,,,9910.0,9910.0,6.4,155171.0,0.0
1966-02-18,,,12600.0,12600.0,8.1,155171.0,0.0
1966-02-19,,,13780.0,13780.0,8.9,155171.0,0.0
1966-02-20,,,13780.0,13780.0,8.9,155171.0,0.0
1966-02-21,,,13470.0,13470.0,8.7,155171.0,0.0
1966-02-22,,,12330.0,12330.0,7.9,155171.0,0.0
1966-02-23,,,10940.0,10940.0,7.1,155171.0,0.0
1966-02-24,,,9910.0,9910.0,6.4,155171.0,0.0
1966-02-25,,,9190.0,9190.0,5.9,155171.0,0.0
1966-02-26,,,8470.0,8470.0,5.5,155171.0,0.0
1966-02-27,,,7980.0,7980.0,5.1,155171.0,0.0
1966-02-28,,,10940.0,10940.0,7.1,155171.0,0.0
1966-03-01,,,16280.0,16280.0,10.5,155171.0,0.0
1966-03-02,,,19760.0,19760.0,12.7,155171.0,0.0
1966-03-03,,,21710.0,21710.0,14.0,155171.0,0.0
1966-03-04,,,23270.0,23270.0,15.0,155171.0,0.0
1966-03-05,,,24500.0,24500.0,15.8,155171.0,0.0
1966-03-06,,,24080.0,24080.0,15.5,155171.0,0.0
1966-03-07,,,22880.0,22880.0,14.7,155171.0,0.0
1966-03-08,,,21320.0,21320.0,13.7,155171.0,0.0
1966-03-09,,,20150.0,20150.0,13.0,155171.0,0.0
1966-03-10,,,16970.0,16970.0,10.9,155171.0,0.0
1966-03-11,,,15650.0,15650.0,10.1,155171.0,0.0
1966-03-12,,,13780.0,13780.0,8.9,155171.0,0.0
1966-03-13,,,12600.0,12600.0,8.1,155171.0,0.0
1966-03-14,,,12330.0,12330.0,7.9,155171.0,0.0
1966-03-15,,,12600.0,12600.0,8.1,155171.0,0.0
1966-03-16,,,10940.0,10940.0,7.1,155171.0,0.0
1966-03-17,,,10150.0,10150.0,6.5,155171.0,0.0
1966-03-18,,,9190.0,9190.0,5.9,155171.0,0.0
